iter	Passed	Remaining
0	2	2850
1	4	2458
2	7	2349
3	9	2287
4	11	2242
5	13	2211
6	15	2193
7	18	2341
8	21	2362
9	23	2352
10	26	2356
11	28	2366
12	31	2367
13	34	2447
14	37	2449
15	40	2481
16	42	2485
17	44	2421
18	46	2413
19	49	2416
20	52	2462
21	55	2465
22	57	2456
23	60	2450
24	62	2444
25	65	2444
26	68	2478
27	71	2473
28	73	2460
29	75	2449
30	78	2440
31	80	2428
32	89	2633
33	93	2669
34	96	2652
35	101	2711
36	103	2697
37	105	2682
38	108	2668
39	110	2655
40	113	2660
41	117	2672
42	119	2660
43	121	2649
44	124	2636
45	126	2625
46	127	2593
47	132	2619
48	135	2625
49	138	2626
50	141	2624
51	143	2620
52	148	2651
53	151	2654
54	154	2652
55	157	2652
56	160	2649
57	164	2671
58	167	2669
59	171	2679
60	174	2681
61	177	2680
62	181	2706
63	185	2718
64	189	2724
65	192	2722
66	197	2744
67	200	2743
68	203	2742
69	206	2740
70	209	2739
71	214	2759
72	216	2747
73	218	2736
74	220	2724
75	223	2713
76	225	2703
77	229	2708
78	231	2703
79	234	2699
80	237	2694
81	240	2690
82	244	2702
83	246	2692
84	249	2683
85	251	2674
86	254	2666
87	256	2658
88	259	2660
89	262	2652
90	264	2643
91	267	2635
92	269	2625
93	271	2618
94	273	2609
95	276	2606
96	279	2598
97	281	2590
98	283	2581
99	286	2575
100	288	2567
101	292	2570
102	294	2563
103	296	2556
104	299	2551
105	301	2544
106	303	2536
107	307	2542
108	310	2537
109	312	2531
110	315	2523
111	317	2516
112	319	2509
113	321	2501
114	325	2502
115	328	2501
116	330	2493
117	332	2486
118	335	2480
119	337	2473
120	340	2475
121	344	2478
122	348	2482
123	350	2476
124	352	2469
125	356	2470
126	359	2469
127	361	2465
128	364	2460
129	366	2454
130	369	2450
131	373	2457
132	376	2453
133	378	2447
134	381	2443
135	383	2438
136	386	2434
137	389	2435
138	392	2431
139	394	2426
140	397	2420
141	398	2409
142	401	2405
143	405	2408
144	407	2404
145	410	2399
146	412	2395
147	415	2391
148	417	2386
149	421	2389
150	423	2383
151	426	2378
152	428	2373
153	431	2368
154	433	2362
155	436	2363
156	439	2359
157	441	2353
158	444	2348
159	446	2343
160	448	2338
161	451	2334
162	470	2414
163	472	2406
164	473	2398
165	475	2390
166	477	2383
167	480	2377
168	482	2372
169	521	2546
170	526	2551
171	530	2552
172	536	2562
173	541	2568
174	546	2574
175	552	2585
176	559	2599
177	564	2605
178	570	2618
179	575	2623
